kolo,dan,datum,ura,id_domaci,lestvica_domaci,domaca_ekipa,id_gostje,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,tocke_domaci,zadetki_gostje,tocke_gostje,razlika_ekip,visja_na_lestvici,nizja_na_lestvici,remi
11,sreda,10/30/19,8:00 PM,621,12,Athletic,714,19,Espanyol,3,3,0,0,7,12,19,0
11,sreda,10/30/19,9:00 PM,150,17,Real Betis,940,18,Celta de Vigo,2,3,1,0,1,17,18,0
11,sreda,10/30/19,9:15 PM,418,3,Real Madrid,1244,20,CD Leganés,5,3,0,0,17,3,20,0
11,četrtek,10/31/19,7:00 PM,1533,16,SD Eibar,1050,7,Villarreal,2,3,1,0,9,7,16,0
11,četrtek,10/31/19,7:00 PM,237,15,RCD Mallorca,331,8,CA Osasuna,2,1,2,1,7,8,15,1
11,četrtek,10/31/19,9:15 PM,3709,11,Getafe,16795,1,Granada CF,3,3,1,0,10,1,11,0
12,sobota,11/2/19,1:00 PM,714,19,Espanyol,1049,11,Valencia,1,0,2,3,8,11,19,0
12,sobota,11/2/19,4:00 PM,3368,12,Levante,131,1,FC Barcelona,3,3,1,0,11,1,12,0
12,sobota,11/2/19,6:30 PM,368,4,Sevilla FC,13,3,Atlético Madrid,1,1,1,1,1,3,4,1
12,sobota,11/2/19,9:00 PM,418,2,Real Madrid,150,16,Real Betis,0,1,0,1,14,2,16,1
12,nedelja,11/3/19,12:00 PM,366,13,Real Valladolid,237,17,RCD Mallorca,3,3,0,0,4,13,17,0
12,nedelja,11/3/19,2:00 PM,1050,7,Villarreal,621,8,Athletic,0,1,0,1,1,7,8,1
12,nedelja,11/3/19,4:00 PM,331,10,CA Osasuna,1108,14,Alavés,4,3,2,0,4,10,14,0
12,nedelja,11/3/19,6:30 PM,940,18,Celta de Vigo,3709,9,Getafe,0,0,1,3,9,9,18,0
12,nedelja,11/3/19,6:30 PM,1244,20,CD Leganés,1533,15,SD Eibar,1,0,2,3,5,15,20,0
12,nedelja,11/3/19,9:00 PM,16795,5,Granada CF,681,6,Real Sociedad,1,0,2,3,1,5,6,0
13,petek,11/8/19,9:00 PM,681,3,Real Sociedad,1244,20,CD Leganés,1,1,1,1,17,3,20,1
13,sobota,11/9/19,1:00 PM,1108,16,Alavés,366,13,Real Valladolid,3,3,0,0,3,13,16,0
13,sobota,11/9/19,4:00 PM,1049,11,Valencia,16795,6,Granada CF,2,3,0,0,5,6,11,0
13,sobota,11/9/19,6:30 PM,1533,14,SD Eibar,418,2,Real Madrid,0,0,4,3,12,2,14,0
13,sobota,11/9/19,9:00 PM,131,1,FC Barcelona,940,18,Celta de Vigo,4,3,1,0,17,1,18,0
13,nedelja,11/10/19,12:00 PM,237,17,RCD Mallorca,1050,9,Villarreal,3,3,1,0,8,9,17,0
13,nedelja,11/10/19,2:00 PM,621,12,Athletic,3368,10,Levante,2,3,1,0,2,10,12,0
13,nedelja,11/10/19,4:00 PM,13,4,Atlético Madrid,714,19,Espanyol,3,3,1,0,15,4,19,0
13,nedelja,11/10/19,6:30 PM,3709,7,Getafe,331,8,CA Osasuna,0,1,0,1,1,7,8,1
13,nedelja,11/10/19,9:00 PM,150,15,Real Betis,368,5,Sevilla FC,1,0,2,3,10,5,15,0
14,petek,11/22/19,9:00 PM,3368,12,Levante,237,16,RCD Mallorca,2,3,1,0,4,12,16,0
14,sobota,11/23/19,1:00 PM,1244,20,CD Leganés,131,1,FC Barcelona,1,0,2,3,19,1,20,0
14,sobota,11/23/19,4:00 PM,150,17,Real Betis,1049,6,Valencia,2,3,1,0,11,6,17,0
14,sobota,11/23/19,6:30 PM,16795,9,Granada CF,13,3,Atlético Madrid,1,1,1,1,6,3,9,1
14,sobota,11/23/19,9:00 PM,418,2,Real Madrid,681,5,Real Sociedad,3,3,1,0,3,2,5,0
14,nedelja,11/24/19,12:00 PM,714,19,Espanyol,3709,7,Getafe,1,1,1,1,12,7,19,1
14,nedelja,11/24/19,2:00 PM,331,10,CA Osasuna,621,8,Athletic,1,0,2,3,2,8,10,0
14,nedelja,11/24/19,4:00 PM,1533,15,SD Eibar,1108,14,Alavés,0,0,2,3,1,14,15,0
14,nedelja,11/24/19,6:30 PM,1050,11,Villarreal,940,18,Celta de Vigo,1,0,3,3,7,11,18,0
14,nedelja,11/24/19,9:00 PM,366,13,Real Valladolid,368,4,Sevilla FC,0,0,1,3,9,4,13,0
15,petek,11/29/19,9:00 PM,940,18,Celta de Vigo,366,14,Real Valladolid,0,1,0,1,4,14,18,1
15,sobota,11/30/19,1:00 PM,1108,13,Alavés,418,2,Real Madrid,1,0,2,3,11,2,13,0
15,sobota,11/30/19,4:00 PM,681,6,Real Sociedad,1533,16,SD Eibar,4,3,1,0,10,6,16,0
15,sobota,11/30/19,6:30 PM,237,17,RCD Mallorca,150,15,Real Betis,1,0,2,3,2,15,17,0
15,sobota,11/30/19,9:00 PM,1049,10,Valencia,1050,12,Villarreal,2,3,1,0,2,10,12,0
15,nedelja,12/1/19,12:00 PM,368,3,Sevilla FC,1244,20,CD Leganés,1,3,0,0,17,3,20,0
15,nedelja,12/1/19,2:00 PM,621,5,Athletic,16795,8,Granada CF,2,3,0,0,3,5,8,0
15,nedelja,12/1/19,4:00 PM,714,19,Espanyol,331,11,CA Osasuna,2,0,4,3,8,11,19,0
15,nedelja,12/1/19,6:30 PM,3709,7,Getafe,3368,9,Levante,4,3,0,0,2,7,9,0
15,nedelja,12/1/19,9:00 PM,13,4,Atlético Madrid,131,1,FC Barcelona,0,0,1,3,3,1,4,0
16,petek,12/6/19,9:00 PM,1050,13,Villarreal,13,6,Atlético Madrid,0,1,0,1,7,6,13,1
16,sobota,12/7/19,1:00 PM,418,2,Real Madrid,714,19,Espanyol,2,3,0,0,17,2,19,0
16,sobota,12/7/19,4:00 PM,16795,10,Granada CF,1108,14,Alavés,3,3,0,0,4,10,14,0
16,sobota,12/7/19,6:30 PM,3368,11,Levante,1049,8,Valencia,2,0,4,3,3,8,11,0
16,sobota,12/7/19,9:00 PM,131,1,FC Barcelona,237,17,RCD Mallorca,5,3,2,0,16,1,17,0
16,nedelja,12/8/19,12:00 PM,1533,16,SD Eibar,3709,7,Getafe,0,0,1,3,9,7,16,0
16,nedelja,12/8/19,2:00 PM,150,12,Real Betis,621,4,Athletic,3,3,2,0,8,4,12,0
16,nedelja,12/8/19,4:00 PM,366,15,Real Valladolid,681,5,Real Sociedad,0,1,0,1,10,5,15,1
16,nedelja,12/8/19,6:30 PM,1244,20,CD Leganés,940,18,Celta de Vigo,3,3,2,0,2,18,20,0
16,nedelja,12/8/19,9:00 PM,331,9,CA Osasuna,368,3,Sevilla FC,1,1,1,1,6,3,9,1
17,petek,12/13/19,9:00 PM,1108,15,Alavés,1244,19,CD Leganés,1,1,1,1,4,15,19,1
17,sobota,12/14/19,1:00 PM,16795,9,Granada CF,3368,12,Levante,1,0,2,3,3,9,12,0
17,sobota,12/14/19,4:00 PM,681,5,Real Sociedad,131,1,FC Barcelona,2,1,2,1,4,1,5,1
17,sobota,12/14/19,6:30 PM,621,8,Athletic,1533,16,SD Eibar,0,1,0,1,8,8,16,1
17,sobota,12/14/19,9:00 PM,13,6,Atlético Madrid,331,10,CA Osasuna,2,3,0,0,4,6,10,0
17,nedelja,12/15/19,12:00 PM,3709,4,Getafe,366,14,Real Valladolid,2,3,0,0,10,4,14,0
17,nedelja,12/15/19,2:00 PM,940,18,Celta de Vigo,237,17,RCD Mallorca,2,1,2,1,1,17,18,1
17,nedelja,12/15/19,4:00 PM,714,20,Espanyol,150,11,Real Betis,2,1,2,1,9,11,20,1
17,nedelja,12/15/19,6:30 PM,368,3,Sevilla FC,1050,13,Villarreal,1,0,2,3,10,3,13,0
17,nedelja,12/15/19,9:00 PM,1049,7,Valencia,418,2,Real Madrid,1,1,1,1,5,2,7,1
18,petek,12/20/19,9:00 PM,1533,16,SD Eibar,16795,9,Granada CF,3,3,0,0,7,9,16,0
18,sobota,12/21/19,1:00 PM,237,17,RCD Mallorca,368,3,Sevilla FC,0,0,2,3,14,3,17,0
18,sobota,12/21/19,4:00 PM,131,1,FC Barcelona,1108,14,Alavés,4,3,1,0,13,1,14,0
18,sobota,12/21/19,6:30 PM,1050,13,Villarreal,3709,4,Getafe,1,3,0,0,9,4,13,0
18,sobota,12/21/19,9:00 PM,366,15,Real Valladolid,1049,7,Valencia,1,1,1,1,8,7,15,1
18,nedelja,12/22/19,12:00 PM,1244,19,CD Leganés,714,20,Espanyol,2,3,0,0,1,19,20,0
18,nedelja,12/22/19,2:00 PM,331,11,CA Osasuna,681,6,Real Sociedad,3,0,4,3,5,6,11,0
18,nedelja,12/22/19,4:00 PM,150,10,Real Betis,13,5,Atlético Madrid,1,0,2,3,5,5,10,0
18,nedelja,12/22/19,6:30 PM,3368,12,Levante,940,18,Celta de Vigo,3,3,1,0,6,12,18,0
18,nedelja,12/22/19,9:00 PM,418,2,Real Madrid,621,8,Athletic,0,1,0,1,6,2,8,1
19,petek,1/3/20,7:00 PM,366,14,Real Valladolid,1244,19,CD Leganés,2,1,2,1,5,14,19,1
19,petek,1/3/20,9:00 PM,368,3,Sevilla FC,621,8,Athletic,1,1,1,1,5,3,8,1
19,sobota,1/4/20,1:00 PM,1049,7,Valencia,1533,16,SD Eibar,1,3,0,0,9,7,16,0
19,sobota,1/4/20,4:00 PM,3709,6,Getafe,418,2,Real Madrid,0,0,3,3,4,2,6,0
19,sobota,1/4/20,6:30 PM,13,4,Atlético Madrid,3368,9,Levante,2,3,1,0,5,4,9,0
19,sobota,1/4/20,9:00 PM,714,20,Espanyol,131,1,FC Barcelona,2,1,2,1,19,1,20,1
19,nedelja,1/5/20,12:00 PM,16795,11,Granada CF,237,17,RCD Mallorca,1,3,0,0,6,11,17,0
19,nedelja,1/5/20,2:00 PM,681,5,Real Sociedad,1050,10,Villarreal,1,0,2,3,5,5,10,0
19,nedelja,1/5/20,4:00 PM,1108,15,Alavés,150,13,Real Betis,1,1,1,1,2,13,15,1
19,nedelja,1/5/20,9:00 PM,940,18,Celta de Vigo,331,12,CA Osasuna,1,1,1,1,6,12,18,1
20,petek,1/17/20,9:00 PM,1244,19,CD Leganés,3709,7,Getafe,0,0,3,3,12,7,19,0
20,sobota,1/18/20,1:00 PM,3368,11,Levante,1108,15,Alavés,0,0,1,3,4,11,15,0
20,sobota,1/18/20,4:00 PM,418,2,Real Madrid,368,4,Sevilla FC,2,3,1,0,2,2,4,0
20,sobota,1/18/20,6:30 PM,331,12,CA Osasuna,366,14,Real Valladolid,0,1,0,1,2,12,14,1
20,sobota,1/18/20,9:00 PM,1533,16,SD Eibar,13,3,Atlético Madrid,2,3,0,0,13,3,16,0
20,nedelja,1/19/20,12:00 PM,237,17,RCD Mallorca,1049,6,Valencia,4,3,1,0,11,6,17,0
20,nedelja,1/19/20,2:00 PM,150,13,Real Betis,681,5,Real Sociedad,3,3,0,0,8,5,13,0
20,nedelja,1/19/20,4:00 PM,1050,9,Villarreal,714,20,Espanyol,1,0,2,3,11,9,20,0
20,nedelja,1/19/20,6:30 PM,621,8,Athletic,940,18,Celta de Vigo,1,1,1,1,10,8,18,1
20,nedelja,1/19/20,9:00 PM,131,1,FC Barcelona,16795,10,Granada CF,1,3,0,0,9,1,10,0
21,petek,1/24/20,9:00 PM,331,13,CA Osasuna,3368,12,Levante,2,3,0,0,1,12,13,0
21,sobota,1/25/20,1:00 PM,714,20,Espanyol,621,8,Athletic,1,1,1,1,12,8,20,1
21,sobota,1/25/20,4:00 PM,1049,7,Valencia,131,1,FC Barcelona,2,3,0,0,6,1,7,0
21,sobota,1/25/20,6:30 PM,1108,14,Alavés,1050,9,Villarreal,1,0,2,3,5,9,14,0
21,sobota,1/25/20,9:00 PM,368,4,Sevilla FC,16795,10,Granada CF,2,3,0,0,6,4,10,0
21,nedelja,1/26/20,12:00 PM,13,3,Atlético Madrid,1244,19,CD Leganés,0,1,0,1,16,3,19,1
21,nedelja,1/26/20,2:00 PM,940,18,Celta de Vigo,1533,16,SD Eibar,0,1,0,1,2,16,18,1
21,nedelja,1/26/20,4:00 PM,3709,5,Getafe,150,11,Real Betis,1,3,0,0,6,5,11,0
21,nedelja,1/26/20,6:30 PM,681,6,Real Sociedad,237,17,RCD Mallorca,3,3,0,0,11,6,17,0
21,nedelja,1/26/20,9:00 PM,366,15,Real Valladolid,418,2,Real Madrid,0,0,1,3,13,2,15,0
22,sobota,2/1/20,1:00 PM,16795,11,Granada CF,714,20,Espanyol,2,3,1,0,9,11,20,0
22,sobota,2/1/20,4:00 PM,418,1,Real Madrid,13,4,Atlético Madrid,1,3,0,0,3,1,4,0
22,sobota,2/1/20,6:30 PM,237,17,RCD Mallorca,366,16,Real Valladolid,0,0,1,3,1,16,17,0
22,sobota,2/1/20,9:00 PM,1049,7,Valencia,940,18,Celta de Vigo,1,3,0,0,11,7,18,0
