kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje
3,sobota,8/31/19,7:00 PM,13,Getafe,5,Alavés,1,1
3,sobota,8/31/19,7:00 PM,10,Levante,7,Real Valladolid,2,0
3,sobota,8/31/19,9:00 PM,20,Real Betis,19,CD Leganés,2,1
3,nedelja,9/1/19,5:00 PM,14,Valencia,11,RCD Mallorca,2,0
3,nedelja,9/1/19,7:00 PM,2,Atlético Madrid,15,SD Eibar,3,2
3,nedelja,9/1/19,7:00 PM,16,Espanyol,17,Granada CF,0,3
3,nedelja,9/1/19,9:00 PM,18,Villarreal,8,Real Madrid,2,2
4,petek,9/13/19,9:00 PM,14,RCD Mallorca,3,Athletic,0,0
4,sobota,9/14/19,1:00 PM,5,Real Madrid,4,Levante,3,2
4,sobota,9/14/19,4:00 PM,20,CD Leganés,16,Villarreal,0,3
4,sobota,9/14/19,6:30 PM,12,Real Sociedad,1,Atlético Madrid,2,0
4,sobota,9/14/19,9:00 PM,8,FC Barcelona,13,Valencia,5,2
4,nedelja,9/15/19,12:00 PM,18,SD Eibar,19,Espanyol,1,2
4,nedelja,9/15/19,2:00 PM,7,Alavés,2,Sevilla FC,0,1
4,nedelja,9/15/19,4:00 PM,11,Celta de Vigo,9,Granada CF,0,2
4,nedelja,9/15/19,6:30 PM,10,Real Valladolid,6,CA Osasuna,1,1
4,nedelja,9/15/19,9:00 PM,15,Real Betis,17,Getafe,1,1
5,petek,9/20/19,9:00 PM,9,CA Osasuna,15,Real Betis,0,0
5,sobota,9/21/19,1:00 PM,10,Villarreal,12,Real Valladolid,2,0
5,sobota,9/21/19,4:00 PM,8,Levante,19,SD Eibar,0,0
5,sobota,9/21/19,6:30 PM,2,Atlético Madrid,16,Celta de Vigo,0,0
5,sobota,9/21/19,9:00 PM,6,Granada CF,5,FC Barcelona,2,0
5,nedelja,9/22/19,12:00 PM,18,Getafe,14,RCD Mallorca,4,2
5,nedelja,9/22/19,2:00 PM,17,Espanyol,7,Real Sociedad,1,3
5,nedelja,9/22/19,4:00 PM,13,Valencia,20,CD Leganés,1,1
5,nedelja,9/22/19,6:30 PM,4,Athletic,11,Alavés,2,0
5,nedelja,9/22/19,9:00 PM,1,Sevilla FC,3,Real Madrid,0,1
6,torek,9/24/19,7:00 PM,13,Real Valladolid,5,Granada CF,1,1
6,torek,9/24/19,8:00 PM,15,Real Betis,8,Levante,3,1
6,torek,9/24/19,9:00 PM,9,FC Barcelona,7,Villarreal,2,1
6,sreda,9/25/19,7:00 PM,20,CD Leganés,1,Athletic,1,1
6,sreda,9/25/19,7:00 PM,17,RCD Mallorca,6,Atlético Madrid,0,2
6,sreda,9/25/19,8:00 PM,16,Valencia,11,Getafe,3,3
6,sreda,9/25/19,9:00 PM,2,Real Madrid,10,CA Osasuna,2,0
6,četrtek,9/26/19,7:00 PM,19,SD Eibar,4,Sevilla FC,3,2
6,četrtek,9/26/19,8:00 PM,14,Celta de Vigo,18,Espanyol,1,1
6,četrtek,9/26/19,9:00 PM,3,Real Sociedad,12,Alavés,3,0
7,petek,9/27/19,9:00 PM,8,Villarreal,9,Real Betis,5,1
7,sobota,9/28/19,1:00 PM,4,Athletic,15,Valencia,0,1
7,sobota,9/28/19,4:00 PM,10,Getafe,6,FC Barcelona,0,2
7,sobota,9/28/19,6:30 PM,5,Granada CF,20,CD Leganés,1,0
