kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje
33,četrtek,7/2/20,10:00 PM,1,Real Madrid,5,Getafe,1,0
34,petek,7/3/20,10:00 PM,3,Atlético Madrid,18,RCD Mallorca,3,0
34,sobota,7/4/20,5:00 PM,17,Celta de Vigo,13,Real Betis,1,1
34,sobota,7/4/20,7:30 PM,14,Real Valladolid,15,Alavés,1,0
34,sobota,7/4/20,10:00 PM,10,Granada CF,9,Valencia,2,2
34,nedelja,7/5/20,2:00 PM,8,Athletic,1,Real Madrid,0,1
34,nedelja,7/5/20,5:00 PM,20,Espanyol,19,CD Leganés,0,1
34,nedelja,7/5/20,7:30 PM,11,CA Osasuna,6,Getafe,0,0
34,nedelja,7/5/20,10:00 PM,5,Villarreal,2,FC Barcelona,1,4
34,ponedeljek,7/6/20,7:30 PM,12,Levante,7,Real Sociedad,1,1
34,ponedeljek,7/6/20,10:00 PM,4,Sevilla FC,16,SD Eibar,1,0
35,torek,7/7/20,7:30 PM,9,Valencia,13,Real Valladolid,2,1
35,torek,7/7/20,10:00 PM,16,Celta de Vigo,3,Atlético Madrid,1,1
35,sreda,7/8/20,8:30 PM,14,Real Betis,11,CA Osasuna,3,0
35,sreda,7/8/20,8:30 PM,6,Getafe,5,Villarreal,1,3
35,sreda,7/8/20,10:00 PM,2,FC Barcelona,20,Espanyol,1,0
35,četrtek,7/9/20,7:30 PM,17,SD Eibar,19,CD Leganés,0,0
35,četrtek,7/9/20,7:30 PM,18,RCD Mallorca,12,Levante,2,0
35,četrtek,7/9/20,10:00 PM,8,Athletic,4,Sevilla FC,1,2
35,petek,7/10/20,7:30 PM,7,Real Sociedad,10,Granada CF,2,3
35,petek,7/10/20,10:00 PM,1,Real Madrid,15,Alavés,2,0
36,sobota,7/11/20,5:00 PM,11,CA Osasuna,16,Celta de Vigo,2,1
36,sobota,7/11/20,7:30 PM,14,Real Valladolid,2,FC Barcelona,0,1
36,sobota,7/11/20,10:00 PM,4,Atlético Madrid,13,Real Betis,1,0
36,nedelja,7/12/20,2:00 PM,20,Espanyol,15,SD Eibar,0,2
36,nedelja,7/12/20,5:00 PM,12,Levante,10,Athletic,1,2
36,nedelja,7/12/20,7:30 PM,19,CD Leganés,8,Valencia,1,0
36,nedelja,7/12/20,10:00 PM,3,Sevilla FC,18,RCD Mallorca,2,0
36,ponedeljek,7/13/20,7:30 PM,17,Alavés,6,Getafe,0,0
36,ponedeljek,7/13/20,7:30 PM,5,Villarreal,7,Real Sociedad,1,2
36,ponedeljek,7/13/20,10:00 PM,9,Granada CF,1,Real Madrid,1,2
37,četrtek,7/16/20,6:30 PM,15,SD Eibar,14,Real Valladolid,3,1
37,četrtek,7/16/20,9:00 PM,8,Athletic,18,CD Leganés,0,2
37,četrtek,7/16/20,9:00 PM,2,FC Barcelona,11,CA Osasuna,1,2
37,četrtek,7/16/20,9:00 PM,13,Real Betis,17,Alavés,1,2
37,četrtek,7/16/20,9:00 PM,16,Celta de Vigo,12,Levante,2,3
37,četrtek,7/16/20,9:00 PM,6,Getafe,4,Atlético Madrid,0,2
37,četrtek,7/16/20,9:00 PM,19,RCD Mallorca,10,Granada CF,1,2
37,četrtek,7/16/20,9:00 PM,1,Real Madrid,5,Villarreal,2,1
37,četrtek,7/16/20,9:00 PM,7,Real Sociedad,3,Sevilla FC,0,0
37,četrtek,7/16/20,9:00 PM,9,Valencia,20,Espanyol,1,0
38,nedelja,7/19/20,5:00 PM,15,Alavés,2,FC Barcelona,0,5
38,nedelja,7/19/20,6:30 PM,5,Villarreal,13,SD Eibar,4,0
38,nedelja,7/19/20,6:30 PM,16,Real Valladolid,14,Real Betis,2,0
38,nedelja,7/19/20,9:00 PM,18,CD Leganés,1,Real Madrid,2,2
38,nedelja,7/19/20,9:00 PM,4,Sevilla FC,8,Valencia,1,0
38,nedelja,7/19/20,9:00 PM,20,Espanyol,17,Celta de Vigo,0,0
38,nedelja,7/19/20,9:00 PM,12,Levante,7,Getafe,1,0
38,nedelja,7/19/20,9:00 PM,9,Granada CF,10,Athletic,4,0
38,nedelja,7/19/20,9:00 PM,11,CA Osasuna,19,RCD Mallorca,2,2
38,nedelja,7/19/20,9:00 PM,3,Atlético Madrid,6,Real Sociedad,1,1
