kolo,dan,datum,ura,id_domaci,lestvica_domaci,domaca_ekipa,id_gostje,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,tocke_domaci,zadetki_gostje,tocke_gostje,razlika_ekip,visja_na_lestvici,nizja_na_lestvici,remi
8,ponedeljek,10/21/19,9:00 PM,19,16,Brescia,430,8,Fiorentina,0,1,0,1,8,8,16,1
9,petek,10/25/19,8:45 PM,276,15,Hellas Verona,6574,13,Sassuolo,0,0,1,3,2,13,15,0
9,sobota,10/26/19,3:00 PM,1005,17,Lecce,506,1,Juventus,1,1,1,1,16,1,17,1
9,sobota,10/26/19,6:00 PM,46,2,Inter,130,9,Parma,2,1,2,1,7,2,9,1
9,sobota,10/26/19,8:45 PM,252,19,Genoa,19,16,Brescia,3,3,1,0,3,16,19,0
9,nedelja,10/27/19,12:30 PM,1025,14,Bologna,1038,20,Sampdoria,2,3,1,0,6,14,20,0
9,nedelja,10/27/19,3:00 PM,800,3,Atalanta,410,10,Udinese Calcio,7,3,1,0,7,3,10,0
9,nedelja,10/27/19,3:00 PM,2722,18,SPAL,6195,4,SSC Napoli,1,1,1,1,14,4,18,1
9,nedelja,10/27/19,3:00 PM,416,11,Torino,1390,5,Cagliari Calcio,1,1,1,1,6,5,11,1
9,nedelja,10/27/19,6:00 PM,12,6,AS Roma,5,12,AC Milan,2,3,1,0,6,6,12,0
9,nedelja,10/27/19,8:45 PM,430,7,Fiorentina,398,8,Lazio,1,0,2,3,1,7,8,0
10,torek,10/29/19,7:00 PM,130,8,Parma,276,15,Hellas Verona,0,0,1,3,7,8,15,0
10,torek,10/29/19,9:00 PM,19,18,Brescia,46,2,Inter,1,0,2,3,16,2,18,0
10,sreda,10/30/19,7:00 PM,6195,4,SSC Napoli,800,3,Atalanta,2,1,2,1,1,3,4,1
10,sreda,10/30/19,9:00 PM,1390,7,Cagliari Calcio,1025,11,Bologna,3,3,2,0,4,7,11,0
10,sreda,10/30/19,9:00 PM,506,1,Juventus,252,17,Genoa,2,3,1,0,16,1,17,0
10,sreda,10/30/19,9:00 PM,398,6,Lazio,416,12,Torino,4,3,0,0,6,6,12,0
10,sreda,10/30/19,9:00 PM,1038,20,Sampdoria,1005,16,Lecce,1,1,1,1,4,16,20,1
10,sreda,10/30/19,9:00 PM,6574,9,Sassuolo,430,10,Fiorentina,1,0,2,3,1,9,10,0
10,sreda,10/30/19,9:00 PM,410,13,Udinese Calcio,12,5,AS Roma,0,0,4,3,8,5,13,0
10,četrtek,10/31/19,9:00 PM,5,14,AC Milan,2722,19,SPAL,1,3,0,0,5,14,19,0
11,sobota,11/2/19,3:00 PM,12,4,AS Roma,6195,7,SSC Napoli,2,3,1,0,3,4,7,0
11,sobota,11/2/19,6:00 PM,1025,12,Bologna,46,2,Inter,1,0,2,3,10,2,12,0
11,sobota,11/2/19,8:45 PM,416,14,Torino,506,1,Juventus,0,0,1,3,13,1,14,0
11,nedelja,11/3/19,12:30 PM,800,3,Atalanta,1390,6,Cagliari Calcio,0,0,2,3,3,3,6,0
11,nedelja,11/3/19,3:00 PM,252,17,Genoa,410,15,Udinese Calcio,1,0,3,3,2,15,17,0
11,nedelja,11/3/19,3:00 PM,276,13,Hellas Verona,19,18,Brescia,2,3,1,0,5,13,18,0
11,nedelja,11/3/19,3:00 PM,1005,16,Lecce,6574,11,Sassuolo,2,1,2,1,5,11,16,1
11,nedelja,11/3/19,6:00 PM,430,8,Fiorentina,130,9,Parma,1,1,1,1,1,8,9,1
11,nedelja,11/3/19,8:45 PM,5,10,AC Milan,398,5,Lazio,1,0,2,3,5,5,10,0
11,ponedeljek,11/4/19,8:45 PM,2722,19,SPAL,1038,20,Sampdoria,0,0,1,3,1,19,20,0
12,petek,11/8/19,8:45 PM,6574,11,Sassuolo,1025,14,Bologna,3,3,1,0,3,11,14,0
12,sobota,11/9/19,3:00 PM,19,19,Brescia,416,15,Torino,0,0,4,3,4,15,19,0
12,sobota,11/9/19,6:00 PM,46,2,Inter,276,9,Hellas Verona,2,3,1,0,7,2,9,0
12,sobota,11/9/19,8:45 PM,6195,7,SSC Napoli,252,17,Genoa,0,1,0,1,10,7,17,1
12,nedelja,11/10/19,12:30 PM,1390,4,Cagliari Calcio,430,8,Fiorentina,5,3,2,0,4,4,8,0
12,nedelja,11/10/19,3:00 PM,398,5,Lazio,1005,16,Lecce,4,3,2,0,11,5,16,0
12,nedelja,11/10/19,3:00 PM,1038,18,Sampdoria,800,6,Atalanta,0,1,0,1,12,6,18,1
12,nedelja,11/10/19,3:00 PM,410,12,Udinese Calcio,2722,20,SPAL,0,1,0,1,8,12,20,1
12,nedelja,11/10/19,6:00 PM,130,10,Parma,12,3,AS Roma,2,3,0,0,7,3,10,0
12,nedelja,11/10/19,8:45 PM,506,1,Juventus,5,13,AC Milan,1,3,0,0,12,1,13,0
13,sobota,11/23/19,3:00 PM,800,5,Atalanta,506,1,Juventus,1,0,3,3,4,1,5,0
13,sobota,11/23/19,6:00 PM,5,14,AC Milan,6195,7,SSC Napoli,1,1,1,1,7,7,14,1
13,sobota,11/23/19,8:45 PM,416,13,Torino,46,2,Inter,0,0,3,3,11,2,13,0
13,nedelja,11/24/19,12:30 PM,1025,15,Bologna,130,8,Parma,2,1,2,1,7,8,15,1
13,nedelja,11/24/19,3:00 PM,276,11,Hellas Verona,430,9,Fiorentina,1,3,0,0,2,9,11,0
13,nedelja,11/24/19,3:00 PM,12,6,AS Roma,19,20,Brescia,3,3,0,0,14,6,20,0
13,nedelja,11/24/19,3:00 PM,6574,10,Sassuolo,398,3,Lazio,1,0,2,3,7,3,10,0
13,nedelja,11/24/19,6:00 PM,1038,18,Sampdoria,410,12,Udinese Calcio,2,3,1,0,6,12,18,0
13,ponedeljek,11/25/19,3:00 PM,1005,16,Lecce,1390,4,Cagliari Calcio,2,1,2,1,12,4,16,1
13,ponedeljek,11/25/19,8:45 PM,2722,19,SPAL,252,17,Genoa,1,1,1,1,2,17,19,1
14,sobota,11/30/19,3:00 PM,19,20,Brescia,800,6,Atalanta,0,0,3,3,14,6,20,0
14,sobota,11/30/19,6:00 PM,252,18,Genoa,416,13,Torino,0,0,1,3,5,13,18,0
14,sobota,11/30/19,8:45 PM,430,10,Fiorentina,1005,17,Lecce,0,0,1,3,7,10,17,0
14,nedelja,12/1/19,12:30 PM,506,1,Juventus,6574,11,Sassuolo,2,1,2,1,10,1,11,1
14,nedelja,12/1/19,3:00 PM,46,2,Inter,2722,19,SPAL,2,3,1,0,17,2,19,0
14,nedelja,12/1/19,3:00 PM,398,3,Lazio,410,12,Udinese Calcio,3,3,0,0,9,3,12,0
14,nedelja,12/1/19,3:00 PM,130,9,Parma,5,14,AC Milan,0,0,1,3,5,9,14,0
14,nedelja,12/1/19,6:00 PM,6195,7,SSC Napoli,1025,15,Bologna,1,0,2,3,8,7,15,0
14,nedelja,12/1/19,8:45 PM,276,8,Hellas Verona,12,5,AS Roma,1,0,3,3,3,5,8,0
14,ponedeljek,12/2/19,8:45 PM,1390,4,Cagliari Calcio,1038,16,Sampdoria,4,3,3,0,12,4,16,0
15,petek,12/6/19,8:45 PM,46,1,Inter,12,5,AS Roma,0,1,0,1,4,1,5,1
15,sobota,12/7/19,3:00 PM,800,6,Atalanta,276,8,Hellas Verona,3,3,2,0,2,6,8,0
15,sobota,12/7/19,6:00 PM,410,16,Udinese Calcio,6195,7,SSC Napoli,1,1,1,1,9,7,16,1
15,sobota,12/7/19,8:45 PM,398,3,Lazio,506,2,Juventus,3,3,1,0,1,2,3,0
15,nedelja,12/8/19,12:30 PM,1005,15,Lecce,252,18,Genoa,2,1,2,1,3,15,18,1
15,nedelja,12/8/19,3:00 PM,6574,11,Sassuolo,1390,4,Cagliari Calcio,2,1,2,1,7,4,11,1
15,nedelja,12/8/19,3:00 PM,2722,19,SPAL,19,20,Brescia,0,0,1,3,1,19,20,0
15,nedelja,12/8/19,3:00 PM,416,10,Torino,430,14,Fiorentina,2,3,1,0,4,10,14,0
15,nedelja,12/8/19,6:00 PM,1038,17,Sampdoria,130,9,Parma,0,0,1,3,8,9,17,0
